content,label
Overall prices. The Efrey warehouse is very close to my home. I often go through the range so I can order (sell only online). They often launch clothing promotions that are at very low prices. The quality is satisfactory. They are quick to fulfill the orders - I had no problem with delay or a mistaken size or color.,Customer Care
"I am satisfied with the order. I am a fan of Saplrshop. The store employees are very accurate and accurate. The goods arrive on the right days. I remain your fan!

I chose the store from my own experience!

For me, the order to give orders is well organized! I have no comments at this stage! I wish you success and many customers!",Customer Care
"Dear Mr. Loc,
Please let me know about the status of this application.
Thank you!",Sales
"Sorry for the slow feedback because I was missed this email. 
He sent offer as below. 

PN 05701-A-0284, Sensor Drive Module- Catalytic- 5701 
Unit price 460 USD, not VAT. 
Delivery time 8-10 weeks. 
Price welcome conditions: DDP HCM.",Sales
"Dear Nguyen Tuan,

Thank you for your new request.

But I am sorry to inform you that you should find local agents for this investigation.
They are wires and accessories that we do not deal with.

Best regards,

Allen Hong
",Sales
"Hello Mr. Kha,

My side sells according to the set, I send you the price list, I see the attached file for me.

Thank you very much.
",External Relationship
"Now we are sending to you official PO as attached. 
Please check it then sign and get your company stamp with authorization. 
Kindly send to us confirmed PO and invoice for making payment.",External Relationship
"Everything was right,
There was a little delay because the product was not available, but the order was executed within the normal range.

- the price,
- Actual photo and accurate product specification
- A little better phone parameters than the base model (3GB RAM)",Customer Care
"I am sorry unable to process until Your official PO is in. 
Invoice will only be prepare when order is key into our system. 

Await your PO. 

Do take note of below. 


1st – payment will be T/T upon PO issue. 

I attached our bank details – 
Please take note that all bank charges inside and outside Singapore to be paid by buyer.",External Relationship
"Dear Song Linh service Company,

First, the Board of Directors of V3 would like to send to our partners respectful greetings, good luck and success.

V3 company was established in 2011, we have developed and constantly perfected in the design and construction of sportswear. Applying new technology and materials with technological requirements at competitive prices and guaranteed quality has always brought satisfaction to the perfection level to affirm for cooperation units and investors in the industry. the entire period of operation has passed.

V3 COMPANY would like to send an invitation to cooperate with our partners to jointly carry out Investment - Business activities to increase value and promote common brands for both parties. We are committed to always give your company the best products and services with reasonable prices, high discounts and many other incentives. With goodwill to cooperate for mutual development, V3 COMPANY strongly believes in the good and long-term success in the cooperation process between us and our partners.
Best regards,",External Relationship
"Thanks for the quotation. 
Can you please help to check with supplier for better price, if required I can join discuss with him.",Sales
"Dear Mr Nguyen
Thank you for your inquiry
Are you looking for ball valve or needle valve?

Do you have requirement for fittings and tubing ?
Attached catalogue for your reference
",Sales
"Dear Ms. Gentle,
Thank you for the quote.
Please give me more information about the certificate.
Please send more catalogs to the product for me.
",Sales
"Dear Song Linh service Company,

Every summer and autumn, our Faculty of Information Systems welcomes a new class of children with many surprises and strange feelings in a new environment and new life.

For the purpose of connecting new students, the Executive Committee of the Youth Union - Faculty of Information Technology organized a Camp to welcome new students in 2019 - HEY K19! with the theme ""RED FLOWER CAMP"".

Specific information:

?? Time: October 12-13, 2019.

?? Location: Cao Minh tourist area – DT767, Vinh Tan, Vinh Cuu, Dong Nai.
Timeline overview of campfire night:
- 18h30 - 21h30: Art
- 21:30-22:30: Campfire
- 22:30 - 23:45: Students rest and eat at night
- 0h - 4h: Run at night station

We hope that you will attend the Camp to once again immerse yourself in the memories of the beautiful student days and at the same time inspire the innocent and immature juniors. Your presence will bring great meaning and motivation to both the campers and us.

In order for us to prepare well for the program, please reply to the Mail before October 8, 2019 to confirm.

If you have any questions, please contact this Gmail directly or via phone number 0368880958 - Hong Gam.

Wish your company a productive week!

Best regards,
Nguyen Ngoc Thach.",External Relationship
"The body was received today. We don’t have any materials shortage now. 
Assembly will begin tomorrow. 

We will keep you updated.",Sales
"The service was level.

Fast and easy delivery. The product was what I ordered.

The director and the Smart background settings were only in Polish, but this was not a problem, as the phone can be adjusted in many languages ??including Bulgarian and English.",Customer Care
"Dear Mr Kha,

My company received 50% of the pre-tax deposit of the order, please let me know the time to install it.
Need more information and support, please contact me.

Thank you",External Relationship
"Ok, we will discuss with customer. 
And, please, advice us cert of quality by sam son tec for quote",Customer Care
"Dear Tiffany, 
Thanks for your support! 
For Item 3, it has to be a long coil non cut and YOM 2018. Pleas, check again. 
we need the Certificate approved for marine tropical. Could you please advice us?",Customer Care
"Please add the copy of Explosion Certifications for Positioner also,",External Relationship
Thanks for your info. Then the steel rod is the one. 5H40103 is the correct part no.,Customer Care
"We introduce about ourself , we are Song Linh trading and services company limited in Viet Nam. 
As far as I know, your company can provide the products as below. 
We would be grateful if you could provide us with a quotation 
4 Position Transmitter Type: Micropulse Linear Position Transducer (Explosion-Proof Rod Style); 
Output Type: 4÷20 mA; 
Supply Voltage: 10÷30 VDC; Analog Output Operation: Maximum Output at Connector End (Falling Towards Opposite End); Stroke Length: 250 mm; 
Housing Style: Rod Style, Smooth Flange, O-Ring Seal; 
Rating Code: Explosion-Proof; Electrical Connection Style: Terminal Block Connection, 1/2""-14 NPT Conduit Entry; 
Approvals: Ex d IIC T6/T5 Ga/Gb Ta +65°C (T6) +80°C (T5) 
(Replacement the Position Transmitter with serial No.: 134369060 or 134369063 or 134369065) 
Reference odering code: BTL5-E57-M0250-J-DEXC-TA12 or equal BALLUFF 
or equal pce 1 

Please kindly check & offer us your best price for the goods. 
*Pls comment enough below information on your quotation: 
- Price term: 
- Delivery time: 
- Payment term: 
- Model/ Part number/Brand/Origin should be clarified on quotation. 
- Certificate sample, CO by chamber of commerce, CQ/ catalogue/ drawing c/w quotation to be required. 
Our deadline is 23/06/2020, We hope to received your quote soon.",Sales
"Dear Ms. Dung, 

I quote additional price to help me with the items as below 

97 pressure switches, 1 bar/ pressure switch, set@ 1 bar Falling - Service: Tellus 46 Hydraulic Fluid 
- Material: 316 Stainless Steel 
- Wetted Part Material: 316 Stainless Steel 
- Proof Pressure: 1000 psi 
- Over Range Pressure: 600 psi 
- Adjustable Range: 8 - 30 psi (0.6 - 2.1 bar) 
- Factory Setting: 14.5 PSI (1 bar) Falling 
- Setpoint repatability: - ± 1% of Adjustable Range 
- Switch Output: Sptt, Hermetically Sealed 
- Electrical Rating: La Resistive & 0.5A Inductive @ 28 VDC, Bifurcated Gold 
Contacts 
- Electrical Connection: 1/2 ""NPTM with 72"" Lead Wires 
- Pressure connection: 1/4 ""NPTF 
- Approval: II 2 g ex d iic t6 
- Ingress Protection: IP66 
- Dimension: 130 mm length; 32 mm diameter (maximum) PCE 1 
98 pressure diapers, 4.8 bars/ pressure switches, set@ 4.8 bar Falling - Service: Tellus 46 Hydraulic Fluid 
- Material: 316 Stainless Steel 
- Wetted Part Material: 316 Stainless Steel 
- Proof Pressure: 1000 psi 
- Over Range Pressure: 600 psi 
- Adjustable Range: 30 - 170 PSI (2.1 - 11.7 bar) 
- Factory Setting: 70 PSI (4.8 bar) Falling 
- Setpoint repatability: ± 1% of Adjustable Range 
- Switch Output: Sptt, Hermetically Sealed 
- Electrical Rating: 1A Resistive & 0.5A Inductive @ 28 VDC, Bifurcated Gold 
Contacts 
- Electrical Connection: 1/2 ""NPTM with 72"" Lead Wires 
- Pressure connection: 1/4 ""NPTF 
- Approval: II 2 g ex d iic t6 
- Ingress Protection: IP66 
- Dimension: 130 mm length; 32 mm diameter (maximum) PCE 1 
99 sets of 3000 PSI - Pressure Transmitter 3000 PSI Type: Compact Type Hermertically Sealed Enclosure, used to Installed Inside 
Cabinet with Hart Protocol, 24VDC, 4-20mA, Field Adjustable. 
Service: Tellus 46 Hydraulic Fluid 
Pressure Range: 0-3000 PSI 
Proof Pressure: 0 - 1000 bar 
Material: 316 Stainless Steel 
Wetted Part Material: 316 Stainless Steel 
Supply Voltage: 24 VDC 
Output Signal: 4-20 Ma with Hart 
Circuit Protection: Protect Againts Transient Surge and Reverse Polarity. 
Accuracy: 0.25% 
Electrical Connection: 1/2 ""NPTM with 72"" Leadwires Long 
Operating Temperature: -40 ° C to 80oC Per Atex 
Pressure Connection: 1/4 ""NPTF 
Ingress Protection: IP66 
Approved: 112 g ex d iic t3. 
Dimension: 170 mm length as maximum, 40 mm diameter as maximum. PCE 13 
100 sets specializing in 10000 PSI/ Pressure Transmitter 10000 PSI Type: Compact Type Hermertically Sealed Enclosure, used to Installed Inside 
Cabinet with Hart Protocol, 24VDC, 4-20mA, Field Adjustable. 
Service: Tellus 46 Hydraulic Fluid 
Pressure Range: 0-10000 psi 
Proof Pressure: 0 - 2000 bar 
Material: 316 Stainless Steel 
Wetted Part Material: 316 Stainless Steel 
Supply Voltage: 24 VDC 
Output Signal: 4-20 Ma with Hart 
Circuit Protection: Protect Againts Transient Surge and Reverse Polarity. 
Accuracy: 0.25% 
Electrical Connection: 1/2 ""NPTM with 72"" Leadwires Long 
Operating Temperature: -40 ° C to 80oC Per Atex 
Pressure Connection: 1/4 ""NPTF 
Ingress Protection: IP66 
Approved: II 2 g ex d iic t3. 
Dimension: 170 mm length as maximum, 50 mm diameter as maximum. PCE 7 

End user: vietsovpetro 

Request: 
- Goods produced from 2020 onwards 
- Certificate: 
o Certificate of origin of goods issued by the Chamber of Commerce of the production country or exporting country: the original or notarized copy 
o Quality certificates or appropriate certificates of goods issued by commodity manufacturers: Original or notarized copy 
o Explosion Certificate: The original or copy was released by the manufacturer confirmed by Third Party (accepting the certificate applied to a series of goods) 
- Technical document.",Sales
"The best! You can order a book for five leva and the next day it will be with you with free shipping. Not to mention that unlike the large bookstores, they also pack with cardboard, not just a bag when they send. It is a pity that they have no greater variety of goods. The hosting of their site is a little slow.",Customer Care
"Hi Huy,

Thank you Huy's feedback!

CPTECH discounts the items compared to the bidding price.

Huy See the official quotation file attached and support for order!

We hope to cooperate with Solicom!
",Customer Care
"Maybe better. Whatever a person is looking for can be found in the seller. Another issue is that it is not known how correct the seller of the goods is and what its quality is. Many sellers are scammers, and no one seems to check them.",Customer Care
"Mr. Huy,

I was really sorry that I was confused that this order was closed.

Last time, the production faction confirmed that production would be completed in early April.
But actually it will be completed on April 13 for your information.

Are you checking when you will receive the goods?
After that, I will ask DSR Vina to prepare.

Wait for your news.

Best regards,
",Sales
"A huge rich assortment. The site offers many cosmetics. I often wander through it and I don't know what to order because they offer many things. They release a lot of promotions, and most of the cosmetics are gone elsewhere and can only be found here. I also like the service, and the delivery is for 3 days. It's not very expensive.",Customer Care
"Thank you for your information, 

I also add our forwarder to this loop, Please advise the contact point that our forwarder will contact to pickup? 

Hi Ms. Amy, 

Please process further step.",External Relationship
"Dear Mr Kha
I am unsure what you mean Mr Kha. Do you mean a Certificate of Origin. If this is the case, we can provice a manufacturer’s certificate of origin free of charge.
Please advise.
With kindest regards",External Relationship
"We send you Draft PO as attached file.
And You do not mention the payment of bank charges in your quote.
According to the orders we have ordered with foreign partners, we only pay bank charges inside and outside Vietnam for orders with a value of less than 1000 USD.
we only trading for PTSC PPS. We estimate of import price for them based on your price. If additional fees are applied, this order will be losses.
Please, check and confirm us.
",External Relationship
"We would like to introduce Mr. Johnny, our FWD who will contact with you to pick up good. 
Note: Pls, put Cert of quality (original) and the goods together. Customers will not receive the goods if the goods do not have the Cert of quality.",External Relationship
"Dear Madam,
I'm Lucy, I came across your product on your website. I am very satisfied with the product code #51362420 for sale for $199. I would like to inquire about the service size. My feet are 27x8 centimeters, what size services should I choose? Thank you.",Customer Care
"I would like to have a more detailed explanation for your products. The last time I ordered a frying pan from'zephir '' that was noted to have a diameter of 24cm. , but it was mentioned that the pan is actually sloping and at the top is so much, and at the bottom it is smaller. If I knew this, I would have ordered the larger size.",Customer Care
"Dear Mr. Allen Hong,

Good day!
Thank you for your feedback.
Please see our reply for 8.3 as below:

8.3 : Do you need the third party certificate like LLOYD, ABS ?
-> No need from IACS, we just need the report from independent load testing unit with full functions as prescribed in Vietnam (QUATEST 3, …)


Best regards,
",Sales
"Dear Ms. Jess E, 

We made payment already, please find attached file for your refer. 
Please kindly send us packing list or estimated weight so we can notice our forwarder to pick up goods 


Many thanks & Best regards",External Relationship
"Have nice day! 
We would like to send you the PO with signed and stamped. Please see attached file, sign and resend to us. The payment will be transferred when we receive the final PO. 
Hope to receive your feedback asap! 
",External Relationship
"Dear Sir, 
Now I am writing to make a complaint about the online service of your company. I have placed an order of the latest service model on your website and I have already paid for it (my bill number is AD54X23) last month. But now I have not received my items yet. 
I am looking forward to hearing from you to assure the day of delivery. My desire is that I want to receive the services this week. And in case it is not going to happen, I would like to ask for a full refund of the bill. Please contact me by phone at 9325-1642 during business hours. 
Yours sincerely Sir, 
Ninh Huy",Customer Care
"Dear Customer, 

Thank you for your enquiry. 
Regret we are unable to offer you a quote for the below. 
We hope to be of better service to you in the near future. 

Kind Regards",Sales
"Dear Song Linh,
On June 16, 2020, I went to your website to check out the products. However, I accidentally checked order #51230612 and placed it. Right after that, my bank account was deducted $100. I hope your company can look into this case and refund me the money.
Best regards.",Customer Care
"Dear, S Kha , Nguyen. 

Good day. 
Please refer to document with signed & stamped. 

P.S) If you have any query for Korean Items, please send plant@ktechcorp.co.kr 

Our Bank Name is KOOKMIN, we do not change our bank and let us know if you receive a message to change the bank. 

Robert Park/ Team Leader",External Relationship
"As if exchanging quickly with him by phone, Duong would like to confirm the information of the production year of the product (YOM) is 2020. 
If you need any additional information, Mr. Kha for Duong or with me",Customer Care
"Dear Mr. Winter,
We have a request for pricing for the following products:
Router for network24-port 10/100/1000T stackable L3 switch with 4 x SFP+ ports and 2 fixed power supplies
Ports: 24 x 10/100/1000T PORTS, 4 x 1/10 GIGABIT SFP+ PORTS .
Routing Protocol: OSPF, RIP, BGP, static IPv4 routing, static IPv6 routing, policy-based routing (PBR)
Specifications and features:
- 1GB DDR3 SDRAM, 256MB NAND flash memory
- 4094 configurable VLANs
- 2 fixed power supplies
- Policy-based QoS
- EPSRing with SuperLoop Protection
- Virtual Chassis Stacking up to 8 units
- Long-Distance VCStack
- License for OSPFv2 (12,000 routes)
- Support OpenFlow for SDN, AMF (Autonomous Management Framework)
- AFM (Active Fiber Monitoring)
- 300 m indoor Cat-6 cable 04 sets

Year of manufacture: 2019 onwards, origin
Accompanying certificates: CO PTM, CO NSX.
Could you please check and quote for me. Looking forward to receiving your quote.",Sales
Everything went normal. I am very pleased with the service. Delivery was in the agreed time. The boy who came to the address explained everything in detail. I'll shop again.,Customer Care
"Dear Ms. Jasmine and GDC, 

Good day to you. 
We are sending to you bank slip as attached. 
Please kindly check and confirm us if your company received payment as soon as possible. 

",External Relationship
"Dear Mr Nguyen, 

X50900 is referring to our number 37.041 
And can be offered for € 3,63 

X41200 is referring to our number 37.042 
And can be offered for € 3,69 

X49700 is referring tou our EGO number 49.41015.300 
And can be offered for €10,14 

X44100 is referring to our EGO number 49.44015.714 
And can be offered for € 20,65 

X44800 is referring to our EGO code 55.32566.806 
And can be offered or € 70,76 

All items are available on stock 

Vriendelijke groeten, 
Kind Regards 

Arno Deegens 

Handelmij. Vermolen Vertriebspartner seit 1934",Sales
"I ordered a laptop. They called that they didn't have availability. They offered me two other models/price. I chose and delivered it to me within 2 days.

I found what I was looking for here.",Customer Care
"Dear Anh Kha,
Currently, Testo Saveris2-H1 has been available earlier than expected.
Please report to you again soon.
",Sales
"Hello Mr. Phuong,

Like exchanging, Dataservices Corp - partner in Vietnam of Metegrity software firm - Looking forward to cooperating with Song Linh to introduce software: Pipeline Enterprise, A 4th Generation ""Software as a Service"" (SAAS) Construction Quality Management Systement System (CQMS) For VSP customers in general and XNXL in particular.

Software helps standardize and concentrate the data and information of the project, thereby bringing the following benefits:

? Improve productivity
? Increase efficiency
? Cost savings
? Cut down the delivery time frame
? Improve the ability to make decisions
? Enhance competitiveness

Introduction documents and a practical application as an example is attached so that I can introduce to potential customers.

P/S: Pipeline Enterprise is just an application in a set of asset management and management solutions that Metegrity has the ability to provide.

Thanks & Best Regards
",External Relationship
"Your colleagues, with whom I scored were very polite and do their jobs well. The problem was that the phone had to arrive on Friday morning because I was traveling to France. Unfortunately, your colleagues informed me on Thursday night that the phone would arrive on Saturday, which did not do my job and I was tied up, as no online store is delivered within 3 hours or today for tomorrow.",Customer Care
"I sent you to confirm the order and UNC in the attached file.
I checked and confirmed for you.
I send the goods early by HM.
",Sales
"Dear Kha, 

Please kindly check the attached PO agreement need to be corrected,",External Relationship
"Hi Anh Huy,

Send him a confirmation contract as attached. Thanks to you to pay 30% in advance for your side to conduct the contract.

Thank you,",External Relationship
"Dear Arno Deegens,
Want to ask you for signal lamp.
Model 37.041 contains Lamp + Pilot lamp front cover, right?",Sales
"Good day to you. 
We have received the goods already, but we have some comment need your advice how to install in this case. 
Please help to check below information and photo as attached: 

• The diameter of hole is 18mm instead of 20mm as original product. 
• The original product has tapped hole, but your product do not have. 

Thanks & Best regards,",Customer Care
"Dear Kha, 

Thank you for your inquiry. 
I am assuming that you are asking for hose assemblies with end connections. 
Could you please kindly advise on what are the end connections for item 1,3,4,5,6? 
Does these hose assemblies need to be tested as well? 

Looking forward to your information soon. 

Thank you.",Sales
"Mr. Huy,

Thanks for your new order.
Please find the draft contract and monetary information as attached.

We appreciate if you check and confirm by returning.

Best regards,
",Sales
"Dear Mr Seto, 
Good day to you! 
Thanks for your information. 
Please, see bankslip as in attached file. 
And, We would like to introduce Ms. Amy, our forwarder who will pick up the shipment. 
Note: Please, send us certificate of quality or certificate of conformity (original) , our customer do not accept the goods if we have not the cert.",External Relationship
"Send me the following information:
Sale item:
• Breakfast
• Lunch
• Beverages

Customer group:
• Company employees: Get a discount of 10-15% of the selling price
• External customers: No discount

Amount:
• Company employees: 300-500
• External customers: 100

Purpose:
• Sales management, bar code billing for company employees. Each person is given 01 small barcode card (keychain) + employee ID (to avoid losing the card, it will be calculated by the employee ID number).
• External customers: normal bill calculation.
• Food and drink put barcodes for each item and scan and print bill at the counter.
That's it at a glance, I'll take a look and advise you further.",Customer Care
"Dear Song Linh service Company,

First of all, on behalf of the Organizing Committee of Hoa Moc Mien Volunteer Campaign 2021, I would like to send to Song Linh service Company respectful greetings, wishes for health and success.

HOA MOC MEN is an annual Volunteer Campaign organized by the Union Branch of the Faculty of Information Systems, University of Economics and Law (VNU - Ho Chi Minh City), to bring to workers in difficult circumstances. difficult and poor children a meaningful gift, partly sharing the burden of making a living with people in poor communes. With the goal of sharing and helping disadvantaged lives, bringing the red color of Myrrh Flower to families in difficult circumstances, we act according to the message:

""Enough sunshine, flowers will bloom, enough love and happiness will be full""

In order to join hands to contribute to the campaign, creating a truly meaningful program, BTC is looking forward to receiving the companionship from Song Linh service Company as the Sponsor for HOA MOC VOLUNTEER CAMPAI MINI 2021.

Thanks to your material and spiritual help, it will help us be eligible to implement the program, bringing joy to people with special circumstances, especially children. Besides, this will be a good opportunity for you to get closer to the data source of students of the Faculty of Information Systems, build an image, develop a brand, show your interest in the company. society, as well as expand their influence further to the student community.

In order for you to have a comprehensive view of the program and sponsor benefits, we would like to attach a detailed program plan (attached file).

If you have any questions, you can reply directly to this email or contact us by phone number 0942964240 (Nhat Minh - Head of External Relations) or 0333 991 440 ( Nhu Tuyet).

Once again, the Organizing Committee of HOA MOC MEN 2021 sincerely thanks and hopes to cooperate with you.

Wish Song Linh service Company more and more development!

Best regards,

Executive Committee of the Union of Information Systems Faculty",External Relationship
"Hi a Hung,

Thank you for sending orders!

CPTECH quotes as attached.
Price is not VAT
Delivery DDP Vung Tau
Co & CQ from the manufacturer (Copy)
Chamber of Chamber: 100 USD

A refer to the attached catalog file!

We hope to cooperate with you!",Sales
"easy to order
A quick reaction from the store
perfect communication
correct and good attitude
I received my order at the site at the store

One of the lowest prices on the market for this item
Three other traders I turned to could not deliver the goods

everything was perfect",Customer Care
"Dear Ms. Jasmine Lam, 

Thank you for you email. 
We have just checked with owner and they send to us the revised enquiry as attached. 
Kindly check it and feedback us asap. 
",Customer Care
"Dear Mr. Huy,

I am truly sorry that I was confused that this order is closed. 

Last time, the production side confirmed that the production will be completed early April.
But actually it will be completed on 13th of April for your information.

Would you please check when you will pick up the goods? 
Then I will ask DSR VINA to prepare.

Looking forward to hearing from you soon.

Best regards,

Allen Hong 
",Sales
"Dear Kha, 

He announced that the order of Giga kitchen parts delivered Mr. Phuc on November 23, 18.",Customer Care
"Ivy,

My apologies for the delays and confusion. I will meet with the operations manager this morning and make sure we get your order moving forward.

Kind regards,
",Customer Care
"Hi Kha, 

Please see the quotation in the attached file. 

Thank you very much,",Sales
"Dear Ms. Ha Thanh, 

Song Linh Company needs to offer the price for the item as below to participate in the bidding. 
Please see and support quotes for your side. 
- End user: vietsovpetro 

Group 3. Measuring Instruments 
9 Seal Gas -Variable Area Flowmeter Range: 11-110 nm3/h H250/RR/M 10-EX, P/A: 01017237.002 or Equivalent variable Area Flowmeter; Range: LL-110NM3/H; MFR & Type: Krohne H250/RR/M 10-EX, P/A: 01017237.002 or Equivalent; Connection type: 316L 1 ""1500 lbs, rj; nominal connection size: DN 25 (Asme 1"") Pressure Rating: 1500# Raise Face: Material of Pipeline: SS316 Display Options: 4 ... 20 MA / MART Approvals: IP66; Atex ex II2G EX D 1IC T4, Hazardous Area Medium: Methane CM, 24.117MW, Operating Pressure: Max 83 Bar Rating Pressure: 143 Bar, Operating Temperature: 150 ° C RMPERATURE: Flow Range: 11-110 NM3/H Type: Float, Ped/G1/I/H. Measuring Accuracy: 1.6%, Indicator: Graphic Display for Measured Value and Counter Display Cable Glands: M20xl.5 EX D, Cable Diameter: 8 ... 13 mm Max. Operating Temperature TS: 150 ° C, Max. Operating Pressure PS: 83 Bar, Max. Test Pressure PT: 143 Bar, Materials: Flange / Raise Face / Measure Tube / Float / Float Stop Guide: Stainless Steel CREEL 1.4404 Protection: IP66; Atex ex II2G EX D IIC T4, Hazardous Area Ambient Temperature: 25 ° C ... 60 ° C Cable Glands: M20xL, 5 EX D, Cable Diameter: 8 ... 13 mm Output: 2-Wire Current Output with Hart, Current Output: Terminal Connection: 2.5 mm2, Power Supply: 24 VDC ± 30%, Measuring Signal: 4.00 ... 20.00 MA = 0 ... 100%, Dimensions: Length - 300mm, Height - 130mm. Nameplate: Sst Included Tag Name: TBA Krohne or Equivalent Set 2 


- Goods produced from 2019 onwards 
- Technical document 
- Certificate: 
? Co Chamber of Chamber: Original 
? CQ Factory: Original 
? Material Traceability Certification Acc. En 10204 Per Device: Copy, Stamped by Manufacturer/ Authorized Agent 
? Calibration Certificate Per Device: Copy, Stamped by Manufacturer/ Authorized Agent",Sales
"Hi Tuan,

We received the first payment. Thank you. 
Please find attached our order confirmation. 
You will get the technical drawing on 16th August 2022. 
We will start production after your approval of the drawing.

Sincerely yours,

Ms. Hua",Sales
"Dear Anh Kha, 

I send you the image of the goods, the cc by wika, the draft invoice of the order on the attached file. 

Do you check if the draft invoice needs any editing (company name, address, name of goods, money)? If the invoice does not need to be edited, I confirm via mail, so that your side will proceed to issue an invoice and deliver it to me. 
Please give me: 
1. Delivery information: 
• Address of receiving goods, names and sdt recipients 
• Address to receive invoices, names and sdt recipients 
2. Accounting email address receiving electronic invoices.",External Relationship
"Dear Mr Kha, 

Noted. Please confirm if your Company Tax ID is 3500904295? 

Thank you.",Customer Care
"We have discuss with our customer, they want to quote for item 303 in catalogue 
303 12 - 5H46953 CONN ROD ASSEMBLY (ALUM ROD) (NOTE): 
Includes: Items 304 – 308; 
Please, quote us again.",Sales
"My order became extremely fast even without registration. I was called the next day as it was Sunday. The order arrived at the next. There was an opportunity to review and test, as it was mentioned. Everything was fine with the phone.",Customer Care
"We send you our enquiry again.
5H120502, GASKET PACKAGE Set 1
5H401142, DISC, CARBON STEEL Pc 12
5H401791, SPRING Pc 72
5H401132, DISC, CARBON STEEL Pc 12
5H407322, SPRING Pc 72
5H401201, LOCK PLATE Pc 12",Sales
"Thank you my PO
Please correct the following 2 items;
1 Delivery time: 2-3 working weeks after receipt of order, and receipt of prepayment: from payment date
2 Price to be understood as CIP - HCM: Tan Son Nhat Airport
I'll take a look at it and fix it if there's anything that's missing",External Relationship
"Good day. 
We are pleased to send our best quotation. 
Please refer to an attached and let us know if you have any query. 

P.S) If you have any query for Korean Items, please send plant@ktechcorp.co.kr",Sales
"I like. I use a seller for both buying and selling. I can say that I am pleased, there are favorable things. Of course, he always has the risk of falling into a detractor, but with more care there is no problem. The site is a great way to sell or replace the already unnecessary things.",Customer Care
"have a nice day! 
We will process to order for this enquiry. Please, send us official Quotation. We will draft PO and send you soon.",External Relationship
"On the New Year, it was quite difficult to communicate with them, but now everything was fine.

Large selection of phones.",Customer Care
"Very good service! My pot kit is great, I'm very pleased. Thank you!",Customer Care
"Dear a. Kha,

I send you back the price, the current section of Hex Bolt B7 with me is no longer available HDG, my side is only galv.
Please see if I can get it.

Thanks you,
",Sales
"Good day to you! 
We would like we will process order for this quote. 
Pleas, send us PI and bank detail. We will draft PO and send to you.",External Relationship
"Dear Sir/ Madam, 

Good day! 

My name is Kha from Gia Phu company in Viet Nam. 
We would like to send to you inquiry as below. 
Please help to check & give us best price for this inquiry. 

No. Description Type, Brand/P/N Technical Characteristics Manufacturer Unit Quantity 
1 Gasket GX-42 for Plate heat Exchanger GX-42 For Plate heat Exchanger Type GX-42 diesel generator SWEP/ OEM PCE 70.00",Sales
"Unit price Fuel Pump 313-7770 is VND 37,046,000 excluding VAT, delivery time 5-7 days 
The goods have the original Co-CQ",Sales
"Any merchant who trades with phones, smartphones and tablets, claims that he has not been registered for VAT (but has been engaged in such trade for 3-4 years) is unfair. They refuse to issue tax invoices because they did not make a turnover of BGN 50000. Does anyone believe in this?
How much do you want.",Customer Care
"There is everything in one place. I once bought a few books from the store. Delivery was very fast and very cheap. I was even surprised how profitable shopping online for books came out. Store can also buy supplies and many more. The choice is large, especially for children's books and textbooks, which is a great convenience for mothers with children. The site is very easy and I immediately navigate it.",Customer Care
"Thanks for your enquiry, please see attached partial quotation for your kind perusal. 
Awaits name plate details from equipment for item 15, 31 & 34 to complete the offer. 

No. Description P/N Technical Characteristics Manufacturer Unit Quantity 
II. AHTS «VUNG TAU 06» 
Main engine - Type MAK 9M 32C (Carterpillar) - Distillate Fuel - 4500 KW. 600 rpm. Serial No. 39190 - Sense of rotation: Right (& 39191 - Left) 
15 Rotating diode & contact paste - - D170S25C EU/G7 SET 1.00 
Cooling water pump (Clockwise). B1.05.09.9.6437 EE 
31 Seal assembly - - 9.6437-041 Carterpillar/EU/ G7 PCE 2.00 
Cooling water pump (Counter Clockwise). B1.05.09.9.6437 FF 
34 Seal assembly - - 9.6437-011 Carterpillar/EU/ G7 PCE 2.00 
",Sales
"Good day. 
We have check it but need a detail also. 
You sent attached photos but it seems that they are for item no.11 but we need a photo of name plate to trace sales record. 
We still need a photo of item no. 5 & No.4. 
If you have any query, Please do not hesitate to contact us anytime. 


P.S) If you have any query for Korean Items, please send plant@ktechcorp.co.kr",Customer Care
"They are slowly sending them. In general, I'm not a fan of online shopping because I have a bad experience with such orders, but my friend liked winter services from this site and I decided to order them as a birthday gift. They were promoted- 60lv and we also took advantage of free delivery. After ordering the services, within one day I received an SMS for confirmation and sending within 6-10 days. And respectively, on the ninth day we received the shipment with the courier company Rapido. The service box was well sealed, the services were in excellent condition, and they were almost like the picture. Only the numbers did not coincide- it was a little bigger, and it also had a terrible smell of artificial leather. The services are relatively durable, the quality also think is good. I didn't just like the long wait for the shipment, for 10 days they are very much in my opinion. For me personally, I would not order that way.",Customer Care
"Dear i.A. Karin Kienle,

Good day to you.
We would like to introduce Mr. Johnny who will contact with you for shipping instructions.
",External Relationship
"Please advise if the original documents can be sent to you separately from cargo as it will take times for processing COO. 

Please also confirm draft COO to proceed. 

Awaiting your response on the documents courier.",External Relationship
"Sir
Through this letter of mine, I wish to inform you that I had purchased a pair of services on the receipt no. 10579 from your shop on 25th May, 20XX. It is of Song Linh brand and the item no. is S15. On unpacking the box at home I found that both the services are for right foot.
I, therefore, request you to kindly replace the pair with a new one or refund the money.
I will be thankful if the matter can be attended to at the earliest.
Thanking you
Yours faithfully
Ravi",Customer Care
